Data e hora,Pressão - PC 52 (mca),Pressao - PM D52 (mca),Vazao (L/s),Ano,Mes,Dia,Dia da Semana,Horario,Turno,Estacao
2021-03-11T16:00:00Z,7.7,9.3,192.397567749023,2021,3,11,Quinta,16:00:00,Tarde,Verao
2021-03-11T16:15:00Z,7.3,9.5,166.679382324219,2021,3,11,Quinta,16:15:00,Tarde,Verao
2021-03-11T16:30:00Z,7.2,9.3,196.088760375977,2021,3,11,Quinta,16:30:00,Tarde,Verao
2021-03-11T16:45:00Z,7.1,9,172.42594909668,2021,3,11,Quinta,16:45:00,Tarde,Verao
2021-03-11T17:00:00Z,6.9,9.1,188.765548706055,2021,3,11,Quinta,17:00:00,Tarde,Verao
2021-03-11T17:15:00Z,6.4,8.9,192.31965637207,2021,3,11,Quinta,17:15:00,Tarde,Verao
2021-03-11T17:30:00Z,6.4,8.6,178.583892822266,2021,3,11,Quinta,17:30:00,Tarde,Verao
2021-03-11T17:45:00Z,6.2,8.5,204.089508056641,2021,3,11,Quinta,17:45:00,Tarde,Verao
2021-03-11T18:00:00Z,6.1,8.1,178.582916259766,2021,3,11,Quinta,18:00:00,Noite,Verao
2021-03-11T18:15:00Z,6.3,8,212.754348754883,2021,3,11,Quinta,18:15:00,Noite,Verao
2021-03-11T18:30:00Z,6,7.8,181.830291748047,2021,3,11,Quinta,18:30:00,Noite,Verao
2021-03-11T18:45:00Z,6,7.8,196.09228515625,2021,3,11,Quinta,18:45:00,Noite,Verao
2021-03-11T19:00:00Z,6.4,7.7,204.182342529297,2021,3,11,Quinta,19:00:00,Noite,Verao
2021-03-11T19:15:00Z,7,8,222.231262207031,2021,3,11,Quinta,19:15:00,Noite,Verao
2021-03-11T19:30:00Z,7.4,8.6,196.09228515625,2021,3,11,Quinta,19:30:00,Noite,Verao
2021-03-11T19:45:00Z,7.6,9.2,188.691635131836,2021,3,11,Quinta,19:45:00,Noite,Verao
2021-03-11T20:00:00Z,7.4,9.5,192.312881469727,2021,3,11,Quinta,20:00:00,Noite,Verao
2021-03-11T20:15:00Z,7.5,9.6,208.345779418945,2021,3,11,Quinta,20:15:00,Noite,Verao
